Student Name,Availability,Other Activities,English Level
Alexis Logan,Monday 19:00-17:00; Tuesday 16:00-18:00,Writing,C
Sheri Foster,Friday 21:00-17:00; Monday 16:00-19:00,Swimming,A
Michael Rodriguez,Friday 16:00-23:00; Tuesday 15:00-21:00,Swimming,A
Nicole Gilbert,Monday 20:00-21:00; Wednesday 19:00-18:00,Reading,B
Wesley Pittman,Wednesday 21:00-18:00; Tuesday 18:00-18:00,Writing,C
Matthew Lewis,Tuesday 17:00-20:00; Wednesday 16:00-18:00,Reading,C
Stephanie George,Thursday 19:00-19:00; Wednesday 21:00-20:00,Chess,Proficiency
Patricia Hunt,Tuesday 17:00-21:00; Friday 21:00-19:00,Swimming,A
Michelle Clark PhD,Tuesday 17:00-18:00; Monday 19:00-21:00,Reading,E
Max Chavez,Thursday 19:00-20:00; Tuesday 18:00-19:00,Music,A
Andrea Duncan,Tuesday 17:00-23:00; Monday 18:00-20:00,Writing,Proficiency
Jennifer Wong,Tuesday 19:00-23:00; Monday 18:00-23:00,Writing,A-Junior
Angel Delacruz,Thursday 21:00-23:00; Monday 16:00-17:00,Writing,Lower
Amanda Fuentes,Wednesday 17:00-17:00; Tuesday 20:00-19:00,Music,B
Keith Suarez,Thursday 15:00-17:00; Friday 19:00-23:00,Chess,A
Frank Powell,Monday 20:00-21:00; Tuesday 21:00-21:00,Drawing,A
Jenna Cooper,Monday 15:00-17:00; Friday 18:00-17:00,Writing,Proficiency
Bradley Williams,Tuesday 19:00-22:00; Friday 16:00-21:00,Dancing,Lower
Nicole Thomas,Thursday 16:00-17:00; Wednesday 18:00-18:00,Drawing,C
Douglas Arnold,Monday 21:00-17:00; Wednesday 19:00-20:00,Dancing,E
James Ward,Tuesday 17:00-20:00; Monday 18:00-19:00,Writing,Lower
Nicole Buckley,Monday 21:00-23:00; Thursday 15:00-20:00,Reading,C
Christopher Lawrence,Wednesday 17:00-21:00; Monday 18:00-17:00,Swimming,C
Christina Hill,Thursday 19:00-20:00; Friday 19:00-20:00,Chess,Proficiency
Thomas Henry,Wednesday 21:00-18:00; Tuesday 21:00-19:00,Writing,A-Junior
Kimberly Huang,Wednesday 20:00-19:00; Thursday 17:00-21:00,Writing,Lower
Dylan Fisher,Thursday 16:00-22:00; Friday 20:00-17:00,Music,Pre-Junior
Beverly Garcia,Friday 16:00-21:00; Thursday 17:00-22:00,Dancing,Proficiency
Christine Suarez,Friday 17:00-23:00; Monday 16:00-22:00,Dancing,Lower
Kristen Cabrera,Thursday 21:00-18:00; Wednesday 21:00-19:00,Music,A-Junior
Veronica Cooper,Tuesday 17:00-17:00; Monday 21:00-19:00,Dancing,D
Brooke Roberson,Wednesday 17:00-20:00; Tuesday 19:00-17:00,Dancing,A-Junior
Mrs. Debra Jones,Wednesday 19:00-21:00; Thursday 15:00-20:00,Dancing,Pre-Junior
Michelle Boyle,Monday 15:00-23:00; Tuesday 21:00-22:00,Swimming,A-Junior
Shane Cole,Wednesday 19:00-20:00; Thursday 17:00-23:00,Music,C
Mark Schaefer,Wednesday 18:00-17:00; Friday 21:00-22:00,Swimming,Lower
Matthew Buckley,Monday 19:00-23:00; Thursday 16:00-21:00,Drawing,A
Stephen Ellis,Monday 16:00-21:00; Wednesday 21:00-22:00,Chess,Lower
Tanya Norman,Tuesday 21:00-18:00; Thursday 20:00-22:00,Writing,E
Beverly Maynard,Monday 19:00-20:00; Friday 19:00-21:00,Dancing,Pre-Junior
Michael Obrien,Wednesday 15:00-22:00; Thursday 20:00-19:00,Music,Proficiency
Stacey Phillips,Friday 19:00-18:00; Monday 16:00-21:00,Drawing,A
Connie Rios,Wednesday 17:00-21:00; Tuesday 19:00-17:00,Drawing,A-Junior
Michael Sims,Wednesday 20:00-20:00; Monday 16:00-21:00,Writing,E
Diana Roman,Friday 17:00-19:00; Thursday 20:00-22:00,Chess,A-Junior
Michael Austin,Monday 16:00-18:00; Tuesday 19:00-22:00,Writing,E
Paul Shaw,Tuesday 21:00-22:00; Wednesday 18:00-18:00,Writing,B
Jill Espinoza,Monday 18:00-20:00; Wednesday 19:00-18:00,Dancing,Lower
Todd Jenkins,Thursday 16:00-20:00; Monday 17:00-18:00,Chess,Lower
William Thomas,Monday 16:00-22:00; Thursday 15:00-17:00,Dancing,E
Angela Rivera,Monday 19:00-20:00; Tuesday 15:00-23:00,Writing,D
Rachel Roth,Monday 20:00-23:00; Thursday 21:00-19:00,Swimming,C
Christine Montgomery,Thursday 21:00-19:00; Friday 18:00-23:00,Reading,A-Junior
Randy Francis PhD,Friday 21:00-23:00; Thursday 18:00-22:00,Chess,B
Aaron Fowler,Wednesday 17:00-22:00; Friday 20:00-21:00,Chess,D
Drew Butler,Wednesday 19:00-18:00; Friday 15:00-20:00,Swimming,D
Angela Cole,Thursday 15:00-21:00; Monday 18:00-19:00,Writing,E
Cindy Wright,Monday 17:00-22:00; Friday 18:00-23:00,Dancing,Lower
Madison Watson,Wednesday 15:00-18:00; Friday 21:00-21:00,Writing,Pre-Junior
Rachel Taylor,Friday 19:00-20:00; Tuesday 18:00-22:00,Music,D
Alexander Wilson,Friday 19:00-23:00; Monday 16:00-17:00,Dancing,D
Bradley Zimmerman,Monday 17:00-20:00; Thursday 18:00-22:00,Dancing,B
Jessica Bartlett,Wednesday 16:00-17:00; Thursday 20:00-17:00,Reading,Lower
Kayla Bowen,Thursday 17:00-18:00; Tuesday 20:00-23:00,Music,Lower
Jessica Hurst,Monday 16:00-20:00; Friday 15:00-18:00,Dancing,B
Dr. Darren Mendoza DDS,Thursday 17:00-22:00; Monday 18:00-23:00,Swimming,Pre-Junior
Wayne Rivera,Wednesday 21:00-23:00; Friday 21:00-18:00,Swimming,A-Junior
Matthew Wood,Tuesday 17:00-17:00; Friday 16:00-20:00,Chess,E
Thomas Conway,Thursday 15:00-19:00; Wednesday 15:00-17:00,Music,Pre-Junior
Janet Hall,Tuesday 17:00-23:00; Monday 19:00-23:00,Dancing,Proficiency
Steven Hughes,Monday 20:00-22:00; Thursday 15:00-17:00,Drawing,E
Robert Cohen,Thursday 19:00-21:00; Monday 17:00-23:00,Dancing,Pre-Junior
Ronald Gill,Wednesday 19:00-19:00; Monday 21:00-17:00,Drawing,A
Austin Porter,Monday 19:00-19:00; Thursday 17:00-21:00,Music,D
Brandi Hampton,Thursday 16:00-21:00; Monday 19:00-17:00,Chess,D
Brittany Douglas,Thursday 16:00-17:00; Friday 16:00-20:00,Dancing,E
Nicholas Davis,Monday 19:00-19:00; Wednesday 20:00-22:00,Music,B
Michael Anderson,Tuesday 19:00-18:00; Monday 16:00-19:00,Dancing,Pre-Junior
John Morales,Thursday 20:00-17:00; Friday 21:00-23:00,Swimming,E
William Reyes,Tuesday 18:00-21:00; Wednesday 17:00-19:00,Reading,Pre-Junior
Kevin Holt,Friday 15:00-18:00; Thursday 17:00-17:00,Music,B
Heather Bolton,Tuesday 16:00-19:00; Wednesday 18:00-22:00,Reading,A-Junior
Cheyenne Grant,Thursday 19:00-22:00; Monday 20:00-19:00,Reading,D
Kevin Lin,Friday 20:00-18:00; Tuesday 19:00-22:00,Dancing,D
Katrina Terrell,Monday 16:00-17:00; Friday 18:00-22:00,Music,B
Jaclyn Washington,Tuesday 17:00-18:00; Thursday 19:00-20:00,Chess,D
Luis Johnson,Wednesday 21:00-20:00; Tuesday 18:00-20:00,Chess,A-Junior
Robert Charles,Thursday 21:00-19:00; Friday 16:00-23:00,Swimming,D
Howard Robinson,Monday 20:00-23:00; Friday 18:00-19:00,Dancing,E
Travis Carter,Friday 16:00-18:00; Wednesday 18:00-23:00,Music,Pre-Junior
Meghan Villa,Monday 15:00-20:00; Thursday 17:00-17:00,Drawing,Pre-Junior
Becky Ryan,Wednesday 16:00-20:00; Tuesday 18:00-23:00,Dancing,B
Dr. Gabriel Beltran,Wednesday 18:00-17:00; Friday 17:00-21:00,Chess,Pre-Junior
Christopher Rose,Thursday 21:00-22:00; Monday 21:00-19:00,Dancing,Lower
Erika Bishop,Wednesday 21:00-23:00; Thursday 19:00-20:00,Music,C
Phillip Powell,Monday 17:00-19:00; Wednesday 18:00-18:00,Dancing,A
Derrick Smith MD,Thursday 16:00-21:00; Monday 16:00-21:00,Chess,Proficiency
Stephanie Smith,Friday 15:00-23:00; Tuesday 21:00-21:00,Chess,B
Robert Hahn,Monday 17:00-23:00; Tuesday 19:00-19:00,Reading,A-Junior
Benjamin Graves,Tuesday 20:00-21:00; Thursday 18:00-23:00,Writing,B
Andrew Hull,Tuesday 17:00-17:00; Thursday 18:00-20:00,Chess,Lower
Jonathan Rodriguez,Monday 21:00-23:00; Friday 15:00-21:00,Chess,A
Jacqueline Gomez,Tuesday 16:00-22:00; Thursday 16:00-17:00,Dancing,Pre-Junior
Rachel Mata,Thursday 15:00-21:00; Wednesday 16:00-17:00,Music,A-Junior
Gail Stevens,Thursday 17:00-20:00; Monday 20:00-19:00,Music,A-Junior
Tracy House,Friday 20:00-17:00; Wednesday 15:00-18:00,Writing,A-Junior
Elizabeth Shea,Wednesday 18:00-17:00; Monday 18:00-17:00,Reading,D
James Byrd,Wednesday 18:00-23:00; Monday 15:00-22:00,Music,C
Noah Anderson,Friday 15:00-18:00; Wednesday 16:00-18:00,Drawing,D
Gary Blake,Friday 20:00-19:00; Wednesday 15:00-17:00,Chess,B
Leonard Harris,Tuesday 17:00-20:00; Thursday 19:00-18:00,Music,C
Rebecca Rodriguez,Friday 17:00-22:00; Tuesday 16:00-22:00,Writing,A
Maureen Randall,Wednesday 16:00-19:00; Thursday 21:00-22:00,Dancing,C
Kimberly Herrera,Monday 21:00-19:00; Tuesday 17:00-19:00,Reading,C
Melissa Williams,Tuesday 19:00-19:00; Monday 16:00-22:00,Music,Lower
Mark Brown,Monday 18:00-21:00; Wednesday 15:00-22:00,Chess,Lower
Kathy Baldwin,Wednesday 17:00-21:00; Thursday 17:00-19:00,Swimming,Proficiency
Don Strickland,Tuesday 19:00-22:00; Thursday 21:00-23:00,Music,C
Patrick Hendrix,Monday 17:00-22:00; Friday 20:00-19:00,Swimming,B
Joanne Kennedy,Thursday 19:00-19:00; Tuesday 18:00-23:00,Writing,Lower
Amber Murphy,Thursday 16:00-17:00; Monday 16:00-19:00,Music,Lower
Ernest Anderson,Monday 18:00-18:00; Friday 20:00-18:00,Swimming,Proficiency
Maria King,Monday 18:00-18:00; Tuesday 20:00-20:00,Reading,E
Jake Webb,Wednesday 17:00-18:00; Tuesday 21:00-22:00,Drawing,E
Sarah Bell,Thursday 20:00-22:00; Monday 16:00-18:00,Drawing,C
Dalton Long,Monday 16:00-20:00; Tuesday 17:00-22:00,Dancing,Pre-Junior
Jason Lloyd,Wednesday 18:00-20:00; Thursday 15:00-22:00,Writing,D
Cheryl Gilbert,Monday 20:00-22:00; Friday 19:00-17:00,Music,C
Douglas Mcclain,Thursday 18:00-22:00; Tuesday 18:00-22:00,Writing,Proficiency
Troy Jones,Tuesday 20:00-17:00; Friday 21:00-23:00,Drawing,Lower
Kayla Butler,Thursday 19:00-23:00; Friday 21:00-22:00,Swimming,A
Sarah Crosby,Thursday 16:00-21:00; Tuesday 20:00-21:00,Reading,B
Daniel Lewis,Thursday 19:00-21:00; Wednesday 17:00-21:00,Dancing,C
Kathleen Reed,Monday 16:00-21:00; Friday 19:00-22:00,Writing,Proficiency
Laura Williams,Tuesday 21:00-20:00; Friday 19:00-23:00,Swimming,A-Junior
Michael Kelly,Monday 19:00-17:00; Thursday 20:00-20:00,Music,Pre-Junior
Phillip Brewer,Thursday 18:00-17:00; Monday 21:00-23:00,Chess,Lower
Alexis Pitts,Monday 17:00-18:00; Friday 20:00-22:00,Swimming,E
Robert Wilson,Monday 21:00-22:00; Wednesday 21:00-17:00,Swimming,A
Lisa Rivera,Friday 15:00-17:00; Wednesday 15:00-17:00,Swimming,Pre-Junior
Jeffery Smith,Friday 18:00-23:00; Monday 18:00-17:00,Reading,Proficiency
Christopher Thomas,Tuesday 20:00-19:00; Wednesday 19:00-18:00,Chess,A
Diamond Keller,Friday 18:00-21:00; Thursday 21:00-21:00,Music,Lower
Tim Thompson,Wednesday 16:00-17:00; Thursday 16:00-21:00,Chess,Proficiency
Sarah Hernandez,Friday 16:00-17:00; Tuesday 15:00-18:00,Reading,A
Hannah Harrison,Friday 19:00-17:00; Wednesday 21:00-23:00,Reading,E
Ross Williams,Friday 15:00-18:00; Monday 20:00-17:00,Drawing,A-Junior
Michelle White,Friday 16:00-21:00; Thursday 18:00-17:00,Music,Proficiency
Mrs. Donna Edwards MD,Wednesday 17:00-21:00; Thursday 18:00-19:00,Chess,C
Ryan Brown,Wednesday 16:00-17:00; Thursday 17:00-22:00,Dancing,C
Chelsea Harper,Wednesday 16:00-22:00; Monday 17:00-17:00,Chess,B
Kimberly Scott,Wednesday 18:00-20:00; Monday 20:00-21:00,Writing,B
Brian Smith,Tuesday 18:00-18:00; Monday 15:00-21:00,Reading,Lower
Kristen Morgan,Monday 17:00-19:00; Tuesday 15:00-23:00,Chess,Lower
Joshua James,Wednesday 20:00-21:00; Tuesday 17:00-18:00,Swimming,A
Dana Nelson,Monday 16:00-23:00; Thursday 19:00-18:00,Music,Lower
Sandra Wilson,Wednesday 15:00-20:00; Tuesday 21:00-17:00,Reading,D
Patrick Johnson,Monday 20:00-22:00; Wednesday 20:00-19:00,Chess,A-Junior
Sarah Thompson,Wednesday 16:00-17:00; Thursday 16:00-19:00,Reading,Lower
Mark Conley,Tuesday 20:00-23:00; Monday 20:00-22:00,Dancing,A
Julia Gonzalez,Friday 15:00-21:00; Thursday 16:00-19:00,Swimming,Proficiency
Kayla Harrison,Friday 19:00-22:00; Tuesday 20:00-22:00,Drawing,Pre-Junior
Kyle Goodwin,Wednesday 21:00-17:00; Thursday 19:00-23:00,Writing,C
Christopher Jensen,Tuesday 17:00-21:00; Monday 16:00-23:00,Swimming,A-Junior
Joseph Adams,Thursday 15:00-20:00; Monday 21:00-23:00,Music,E
Annette Armstrong,Monday 19:00-17:00; Wednesday 16:00-22:00,Chess,C
Amy Smith,Monday 19:00-18:00; Friday 20:00-22:00,Writing,B
Kathy Jones,Monday 16:00-22:00; Tuesday 18:00-23:00,Swimming,Proficiency
Kim Gordon,Monday 20:00-19:00; Wednesday 17:00-20:00,Drawing,B
Arthur Hinton,Tuesday 21:00-22:00; Monday 19:00-19:00,Chess,C
Danielle Wells,Tuesday 15:00-19:00; Friday 18:00-23:00,Reading,D
Lauren Stephens,Thursday 19:00-19:00; Wednesday 15:00-17:00,Reading,E
Susan Dillon,Wednesday 16:00-21:00; Friday 15:00-23:00,Swimming,Proficiency
Alex Graham,Tuesday 16:00-17:00; Thursday 16:00-19:00,Chess,Lower
Ronald Best,Thursday 17:00-18:00; Wednesday 16:00-22:00,Drawing,Lower
Sarah Evans,Friday 17:00-20:00; Tuesday 20:00-22:00,Writing,C
Dillon Alvarado,Tuesday 17:00-18:00; Monday 15:00-18:00,Swimming,B
Brett Clark,Monday 16:00-21:00; Friday 16:00-23:00,Reading,A-Junior
Antonio Henry,Monday 15:00-20:00; Tuesday 15:00-21:00,Reading,D
Michael Brown,Tuesday 18:00-18:00; Wednesday 21:00-19:00,Chess,A-Junior
Erika Simmons,Tuesday 19:00-21:00; Monday 20:00-17:00,Writing,E
Noah Mcpherson,Monday 17:00-19:00; Friday 16:00-20:00,Drawing,Lower
Mary Murphy,Friday 16:00-20:00; Wednesday 17:00-17:00,Dancing,C
Laurie Harris,Wednesday 18:00-22:00; Thursday 17:00-22:00,Swimming,C
Douglas Moore,Wednesday 21:00-17:00; Monday 18:00-21:00,Chess,D
Juan Hughes,Wednesday 15:00-20:00; Friday 17:00-20:00,Swimming,E
Tamara Wilson,Monday 19:00-19:00; Wednesday 16:00-21:00,Swimming,Pre-Junior
Joshua Hill,Thursday 19:00-22:00; Tuesday 20:00-20:00,Chess,Proficiency
Michael Ortega,Thursday 19:00-23:00; Wednesday 15:00-20:00,Swimming,Proficiency
Jean Brooks,Monday 21:00-18:00; Tuesday 15:00-23:00,Reading,D
Samantha Williams,Friday 20:00-23:00; Wednesday 18:00-23:00,Chess,Pre-Junior
Amber Crawford,Wednesday 19:00-21:00; Tuesday 20:00-20:00,Chess,Pre-Junior
Jennifer Hayes,Wednesday 17:00-21:00; Monday 19:00-23:00,Reading,A-Junior
Jeffrey Reynolds,Wednesday 20:00-17:00; Thursday 16:00-21:00,Music,E
William Buchanan,Monday 20:00-22:00; Tuesday 16:00-23:00,Dancing,D
Justin Calhoun,Wednesday 21:00-21:00; Tuesday 19:00-20:00,Music,A
Chase Novak,Thursday 21:00-23:00; Monday 15:00-21:00,Reading,Proficiency
Renee Hinton,Wednesday 16:00-23:00; Friday 15:00-18:00,Swimming,A
Anthony Parker,Tuesday 19:00-21:00; Wednesday 21:00-18:00,Dancing,B
Amanda Neal,Tuesday 21:00-21:00; Monday 19:00-20:00,Writing,E
James Williams,Thursday 17:00-17:00; Tuesday 18:00-18:00,Drawing,B
Misty Mitchell,Thursday 15:00-20:00; Tuesday 19:00-17:00,Dancing,B
Courtney Bowen,Friday 20:00-17:00; Monday 20:00-17:00,Music,D
Andrew Madden,Friday 21:00-18:00; Monday 18:00-21:00,Reading,A
Cody Adams,Wednesday 15:00-20:00; Thursday 16:00-21:00,Dancing,Proficiency
Jamie Garner,Wednesday 20:00-21:00; Tuesday 15:00-19:00,Swimming,Proficiency
Nicole Thompson MD,Monday 15:00-19:00; Tuesday 20:00-19:00,Music,D
Angela Shelton,Tuesday 15:00-19:00; Thursday 18:00-17:00,Writing,Lower
Paul Le,Monday 16:00-20:00; Wednesday 19:00-19:00,Reading,D
Melissa Schneider,Friday 21:00-21:00; Tuesday 19:00-20:00,Reading,C
Joe Dyer,Monday 20:00-21:00; Wednesday 18:00-17:00,Reading,B
Jackie Cooper,Friday 15:00-21:00; Tuesday 16:00-18:00,Drawing,D
David Hill,Wednesday 20:00-17:00; Monday 21:00-19:00,Reading,C
Sherry Patton,Monday 17:00-20:00; Wednesday 16:00-17:00,Chess,D
Laura Schneider,Friday 16:00-17:00; Thursday 16:00-22:00,Reading,Pre-Junior
Cindy Lyons,Thursday 21:00-17:00; Monday 18:00-17:00,Dancing,E
Larry Diaz,Friday 19:00-20:00; Thursday 20:00-21:00,Dancing,D
Scott Payne,Tuesday 18:00-17:00; Friday 17:00-20:00,Chess,Lower
William Salazar,Monday 21:00-19:00; Tuesday 15:00-23:00,Writing,Pre-Junior
Amy Wood,Thursday 18:00-19:00; Monday 21:00-20:00,Music,C
Katherine Buchanan,Thursday 16:00-21:00; Wednesday 19:00-23:00,Dancing,Proficiency
Katherine Montgomery,Tuesday 16:00-18:00; Wednesday 15:00-17:00,Chess,B
Lori Pham,Monday 16:00-22:00; Friday 17:00-19:00,Dancing,A-Junior
Elizabeth Haynes,Wednesday 19:00-20:00; Monday 15:00-20:00,Drawing,B
Jennifer Kelly,Monday 16:00-18:00; Wednesday 17:00-20:00,Swimming,A-Junior
Jonathan Cooley,Monday 21:00-23:00; Friday 18:00-22:00,Chess,A
Timothy Austin,Monday 21:00-22:00; Wednesday 16:00-21:00,Swimming,A
Tiffany Garza,Friday 20:00-20:00; Tuesday 20:00-20:00,Drawing,D
Steven Welch,Tuesday 15:00-18:00; Wednesday 21:00-20:00,Reading,E
Desiree Strong,Wednesday 16:00-21:00; Monday 20:00-18:00,Writing,Proficiency
Joseph Wilson,Thursday 21:00-22:00; Wednesday 18:00-23:00,Chess,C
Tina Hernandez,Thursday 21:00-22:00; Monday 21:00-22:00,Drawing,D
Christopher Adams,Monday 20:00-22:00; Friday 15:00-18:00,Dancing,C
James Ford,Friday 18:00-19:00; Monday 16:00-18:00,Swimming,C
Breanna Moore,Friday 17:00-23:00; Wednesday 16:00-23:00,Chess,C
Crystal Harris,Friday 21:00-19:00; Monday 18:00-19:00,Music,A-Junior
Chris David,Wednesday 21:00-22:00; Tuesday 16:00-17:00,Music,A-Junior
Elizabeth Jackson,Thursday 15:00-22:00; Monday 15:00-19:00,Dancing,C
Marie Carter,Wednesday 18:00-22:00; Thursday 18:00-21:00,Music,A-Junior
Ashley Hess,Wednesday 15:00-23:00; Monday 20:00-21:00,Drawing,Proficiency
David Jones,Thursday 18:00-19:00; Tuesday 16:00-17:00,Reading,Proficiency
Danielle Phillips,Wednesday 17:00-20:00; Monday 16:00-21:00,Music,D
Carl Maynard,Tuesday 15:00-21:00; Wednesday 21:00-20:00,Music,D
Joseph Owens,Monday 21:00-17:00; Wednesday 21:00-18:00,Dancing,E
Lauren Mitchell DDS,Monday 18:00-19:00; Friday 19:00-20:00,Drawing,Pre-Junior
Travis Williams,Friday 20:00-21:00; Wednesday 17:00-23:00,Chess,B
Desiree Hall,Tuesday 21:00-20:00; Friday 17:00-17:00,Chess,B
Ashley Moody,Wednesday 17:00-22:00; Tuesday 15:00-19:00,Reading,E
Amy Woods,Monday 19:00-22:00; Thursday 17:00-20:00,Dancing,A-Junior
Christopher Cruz,Thursday 16:00-21:00; Tuesday 17:00-21:00,Chess,D
Carla Wright,Friday 16:00-19:00; Monday 20:00-22:00,Music,C
Joshua Ross,Wednesday 17:00-20:00; Tuesday 17:00-20:00,Chess,B
Joanne Flores,Friday 17:00-18:00; Thursday 18:00-21:00,Writing,A-Junior
Julia Carney,Tuesday 18:00-23:00; Friday 19:00-18:00,Dancing,Lower
James Jackson,Thursday 20:00-20:00; Tuesday 17:00-19:00,Swimming,Lower
David Powers,Monday 20:00-21:00; Thursday 18:00-22:00,Music,Proficiency
Matthew Griffith,Tuesday 20:00-23:00; Thursday 15:00-23:00,Swimming,C
Wesley Rodriguez,Tuesday 20:00-20:00; Monday 21:00-17:00,Chess,C
Bryan Leonard,Tuesday 17:00-19:00; Friday 16:00-20:00,Swimming,B
Tammy Brown,Thursday 21:00-17:00; Tuesday 21:00-20:00,Drawing,Pre-Junior
Meghan Chan,Wednesday 20:00-19:00; Thursday 21:00-22:00,Chess,A-Junior
Devin Cole,Wednesday 15:00-23:00; Friday 21:00-21:00,Music,C
Randall Wall,Thursday 21:00-19:00; Monday 19:00-21:00,Swimming,Pre-Junior
Tammy Daniels,Wednesday 20:00-19:00; Friday 20:00-19:00,Music,B
Brian Turner,Wednesday 16:00-22:00; Monday 18:00-22:00,Reading,D
Shannon Pratt,Thursday 21:00-20:00; Tuesday 17:00-22:00,Writing,A
Mr. Raymond Monroe,Thursday 21:00-19:00; Monday 17:00-21:00,Drawing,A-Junior
James Sanchez,Friday 20:00-22:00; Thursday 18:00-17:00,Reading,Pre-Junior
Susan Allen,Tuesday 20:00-21:00; Wednesday 17:00-18:00,Writing,A
Madison Rodriguez,Monday 18:00-18:00; Tuesday 20:00-18:00,Drawing,D
Danielle Cantrell,Thursday 19:00-21:00; Friday 21:00-18:00,Music,C
Louis Schmidt,Wednesday 19:00-18:00; Monday 16:00-21:00,Chess,A
Patricia Powell,Friday 16:00-17:00; Tuesday 16:00-22:00,Drawing,Pre-Junior
Elizabeth Robinson,Wednesday 15:00-20:00; Monday 17:00-18:00,Reading,Pre-Junior
Robert Brown,Wednesday 18:00-19:00; Friday 19:00-23:00,Dancing,Lower
Penny Leonard,Monday 21:00-20:00; Tuesday 20:00-17:00,Writing,D
Wendy Jenkins,Tuesday 15:00-20:00; Monday 19:00-18:00,Writing,E
Anne Anderson,Thursday 20:00-20:00; Friday 19:00-21:00,Dancing,C
Wendy Watson,Thursday 21:00-23:00; Friday 21:00-21:00,Dancing,E
Destiny Strong,Tuesday 20:00-23:00; Thursday 20:00-22:00,Reading,D
Robert Fisher,Friday 17:00-17:00; Monday 20:00-17:00,Reading,C
Michael Frazier,Friday 15:00-22:00; Wednesday 18:00-18:00,Reading,A
Ryan Williams,Monday 18:00-23:00; Thursday 20:00-18:00,Reading,B
Shannon Roberts,Tuesday 18:00-23:00; Friday 18:00-20:00,Drawing,A
Ashley Norris,Tuesday 17:00-22:00; Wednesday 18:00-17:00,Reading,Pre-Junior
Mary Brown,Tuesday 15:00-18:00; Thursday 16:00-19:00,Writing,B
Thomas Green,Friday 21:00-17:00; Tuesday 18:00-22:00,Chess,A
Steven Davis,Thursday 21:00-21:00; Tuesday 21:00-21:00,Reading,E
Leah Brown,Tuesday 18:00-20:00; Monday 17:00-20:00,Reading,A
Amanda Smith,Wednesday 21:00-17:00; Tuesday 15:00-20:00,Swimming,C
Gene Sparks,Wednesday 18:00-18:00; Friday 17:00-20:00,Music,B
Ronald Park,Monday 20:00-20:00; Thursday 16:00-17:00,Swimming,Pre-Junior
Jeremy Dougherty,Monday 18:00-18:00; Wednesday 17:00-22:00,Writing,B
Sean Oliver,Thursday 18:00-20:00; Tuesday 17:00-20:00,Writing,A
Matthew Brown,Wednesday 15:00-21:00; Friday 21:00-17:00,Music,B
Shannon Smith,Monday 19:00-21:00; Tuesday 17:00-19:00,Drawing,E
Donna Smith,Tuesday 18:00-22:00; Monday 18:00-22:00,Chess,B
Sean Cain,Wednesday 20:00-17:00; Tuesday 16:00-22:00,Chess,D
Michael Kelly,Thursday 21:00-20:00; Monday 21:00-21:00,Swimming,Pre-Junior
Lori Reynolds,Thursday 19:00-22:00; Monday 17:00-18:00,Dancing,A-Junior
Linda Espinoza,Monday 21:00-17:00; Thursday 18:00-18:00,Swimming,A
Charles Munoz,Tuesday 20:00-18:00; Monday 18:00-18:00,Dancing,Pre-Junior
Kenneth Reed,Monday 17:00-20:00; Friday 21:00-19:00,Chess,A-Junior
Dr. Donald Rose MD,Monday 21:00-18:00; Tuesday 21:00-21:00,Swimming,D
Michael Holloway,Wednesday 15:00-21:00; Thursday 15:00-22:00,Writing,Lower
Jared Reynolds,Friday 20:00-20:00; Wednesday 16:00-20:00,Music,C
Christina Bryan,Friday 20:00-19:00; Monday 20:00-20:00,Dancing,E
Angela Davenport,Monday 15:00-20:00; Tuesday 17:00-21:00,Dancing,E
Jacob Wells,Tuesday 21:00-17:00; Monday 18:00-22:00,Writing,D
Janice Bray,Wednesday 21:00-23:00; Friday 20:00-22:00,Music,D
Kelli Miller,Friday 19:00-20:00; Thursday 20:00-19:00,Music,D
Victoria Frank,Friday 19:00-23:00; Tuesday 21:00-19:00,Dancing,B
William Butler,Monday 17:00-20:00; Thursday 20:00-23:00,Reading,A
Angela Sanders,Thursday 19:00-17:00; Wednesday 16:00-23:00,Swimming,Pre-Junior
Ashley Norton,Friday 20:00-23:00; Thursday 17:00-20:00,Drawing,E
Monica Terry,Tuesday 19:00-23:00; Friday 19:00-23:00,Reading,E
Jason Brown,Tuesday 15:00-19:00; Wednesday 18:00-23:00,Dancing,E
Victoria Underwood,Tuesday 17:00-17:00; Thursday 17:00-20:00,Drawing,Proficiency
John Mcgee,Tuesday 18:00-21:00; Wednesday 20:00-18:00,Music,A-Junior
Thomas Morrow,Wednesday 21:00-19:00; Tuesday 17:00-20:00,Drawing,B
Walter Davis,Friday 20:00-18:00; Wednesday 21:00-23:00,Chess,B
Jason Hoffman,Wednesday 17:00-19:00; Monday 21:00-20:00,Dancing,E
Lorraine Hayes,Wednesday 15:00-19:00; Monday 17:00-17:00,Chess,C
Robin Davis,Tuesday 21:00-19:00; Friday 21:00-19:00,Chess,D
Joseph Tucker,Thursday 15:00-23:00; Monday 16:00-22:00,Reading,Lower
Heather Pena,Tuesday 16:00-17:00; Wednesday 17:00-17:00,Dancing,Proficiency
Julie Baker,Wednesday 15:00-21:00; Monday 16:00-17:00,Writing,A
Michael Buck,Thursday 18:00-19:00; Monday 16:00-21:00,Swimming,D
Tracy Smith,Tuesday 19:00-23:00; Thursday 15:00-17:00,Drawing,B
Rebecca Adkins,Thursday 19:00-20:00; Wednesday 18:00-19:00,Drawing,A-Junior
Kimberly Khan,Friday 15:00-19:00; Thursday 21:00-22:00,Swimming,Proficiency
